Name,Price,MRP,Disc_Per,Rating,Reviews,Discount_Price
Campus SNIPER LIGHT GREY Men's Sports Running Shoes,807.0,1949.0,0.59,4.3,163.0,1142.0
ASIAN TITAAN-06 Off White Men's Sports Running Shoes,717.0,1999.0,0.64,4.3,712.0,1282.0
Campus ZURIK PRO Blue  Men's Sports Running Shoes,827.0,1999.0,0.59,4.3,653.0,1172.0
hotstyle Gray Men's Sports Running Shoes,512.0,2249.0,0.77,4.0,826.0,1737.0
ASIAN NAVIGATOR-02 White Men's Sports Running Shoes,841.0,2999.0,0.72,4.3,217.0,2158.0
Clymb Gray Men's Sports Running Shoes,632.0,2100.0,0.7,4.1,538.0,1468.0
Bersache Black Men's Sports Running Shoes,994.0,4999.0,0.8,4.1,275.0,4005.0
ASIAN DELTA-20 Blue Men's Sports Running Shoes,686.0,1899.0,0.64,4.3,2635.0,1213.0
Campus MIKE (N) Navy Blue Men's Sports Running Shoes,950.0,1999.0,0.52,4.3,950.0,1049.0
Bersache Navy Men's Sports Running Shoes,742.0,1999.0,0.63,4.2,441.0,1257.0
Campus MOLAR NAVY Men's Sports Running Shoes,807.0,1999.0,0.6,4.6,41.0,1192.0
ASIAN EXPRESS-10 White Men's Sports Running Shoes,618.0,1499.0,0.59,4.2,1170.0,881.0
Bersache N-SPO-S-9197 White Men's Sports Running Shoes,1061.0,4999.0,0.79,4.1,121.0,3938.0
PENNEN Black Men's Sports Running Shoes,354.0,999.0,0.65,3.7,48.0,645.0
ASIAN POWERPLAY-01 Black Men's Sports Running Shoes,951.0,2499.0,0.62,4.2,1750.0,1548.0
VCTR Performance PF01 Black Men's Sports Running Shoes,702.0,2999.0,0.77,4.4,62.0,2297.0
Campus VESPER Gray Men's Sports Running Shoes,1251.0,1649.0,0.24,4.1,85.0,398.0
ASIAN TITAAN-06 Olive Men's Sports Running Shoes,717.0,1999.0,0.64,4.3,712.0,1282.0
Campus RIM Black  Men's Sports Running Shoes,875.0,1999.0,0.56,4.1,2227.0,1124.0
ASIAN RAFTAAR-07 Black Men's Sports Running Shoes,702.0,1999.0,0.65,4.3,136.0,1297.0
Cult Strix Black Men's Sports Running Shoes,1815.0,4069.0,0.55,4.5,29.0,2254.0
Campus DRAGON White  Men's Sports Running Shoes,1000.0,2499.0,0.6,4.1,680.0,1499.0
ASIAN THAR-01 Black Men's Sports Running Shoes,629.0,1249.0,0.5,4.2,1601.0,620.0
Campus ABACUS Blue Men's Sports Running Shoes,977.0,2299.0,0.58,4.3,2364.0,1322.0
ASIAN CIVIC-04 Black Men's Sports Running Shoes,689.0,1999.0,0.66,4.1,64.0,1310.0
Campus NORTH PLUS Black Men's Sports Running Shoes,943.0,1899.0,0.5,4.3,1583.0,956.0
ASIAN DELTA-20 Black Men's Sports Running Shoes,686.0,1899.0,0.64,4.3,2635.0,1213.0
Campus Deccan Navy Running Shoes,1353.0,2399.0,0.44,4.1,355.0,1046.0
Clymb Sports Gray Men's Sports Running Shoes,458.0,999.0,0.54,4.2,12.0,541.0
ASIAN DOMINATOR-03 Dark Grey Men's Sports Running Shoes,839.0,2499.0,0.66,4.2,1266.0,1660.0
Campus KING PRO Navy Men's Sports Running Shoes,605.0,1099.0,0.45,4.3,388.0,494.0
ASIAN - Innova-04 White Men's Sports Running Shoes,812.0,1999.0,0.59,4.2,439.0,1187.0
Clymb MOOVON Black Black Men's Sports Running Shoes,523.0,2100.0,0.75,4.1,14.0,1577.0
Campus First White Men's Sports Running Shoes,943.0,1899.0,0.5,4.2,5770.0,956.0
